,Name,BSE Code,NSE Code,MoneyControl Link,Rediff Link,Sector
76,AIA Engineering Ltd.,,AIAENG,,https://money.rediff.com/companies/AIA-Engineering-Ltd/13510066,
77,Aimco Pesticides Ltd.,,AIMCOPESTBE,,https://money.rediff.com/companies/Aimco-Pesticides-Ltd/12120014,
78,Airan Ltd.,,AIRANBE,,https://money.rediff.com/companies/Airan-Ltd/14094804,
79,Airo Lam Ltd.,,AIROLAMSM,,https://money.rediff.com/companies/Airo-Lam-Ltd/11560041,
80,Ajanta Pharma Ltd.,,AJANTPHARM,,https://money.rediff.com/companies/Ajanta-Pharma-Ltd/12540406,
81,Ajmera Realty & Infra India Ltd.,,AJMERA,,https://money.rediff.com/companies/Ajmera-Realty-Infra-India-Ltd/15550007,
82,Ajooni Biotech Ltd.,,AJOONISM,,https://money.rediff.com/companies/Ajooni-Biotech-Ltd/16540034,
83,Akash Infra-Projects Ltd.,,AKASHBE,,https://money.rediff.com/companies/Akash-Infra-Projects-Ltd/11622862,
84,AKG Exim Ltd.,,AKGSM,,https://money.rediff.com/companies/AKG-Exim-Ltd/17153212,
85,Aksh Optifibre Ltd.,,AKSHOPTFBRBE,,https://money.rediff.com/companies/Aksh-Optifibre-Ltd/15050048,
86,AksharChem (India) Ltd.,,AKSHARCHEM,,https://money.rediff.com/companies/AksharChem-India-Ltd/16090038,
87,Akzo Nobel India Ltd.,,AKZOINDIA,,https://money.rediff.com/companies/Akzo-Nobel-India-Ltd/17010008,
88,Alankit Ltd.,,ALANKIT,,https://money.rediff.com/companies/Alankit-Ltd/15070035,
89,Albert David Ltd.,,ALBERTDAVD,,https://money.rediff.com/companies/Albert-David-Ltd/12540053,
90,Alchemist Ltd.,,ALCHEM,,https://money.rediff.com/companies/Alchemist-Ltd/15600034,
91,Alembic Ltd.,,ALEMBICLTD,,https://money.rediff.com/companies/Alembic-Ltd/12540002,
92,Alembic Pharmaceuticals Ltd.,,APLLTD,,https://money.rediff.com/companies/Alembic-Pharmaceuticals-Ltd/12540995,
93,Alfa Laval (India) Ltd.,,ALFALAVAL,,https://money.rediff.com/companies/Alfa-Laval-India-Ltd/13510002,
94,Alfred Herbert (India) Ltd.,,ALFREDHERBBE,,https://money.rediff.com/companies/Alfred-Herbert-India-Ltd/13520030,
95,Alicon Castalloy Ltd.,,ALICON,,https://money.rediff.com/companies/Alicon-Castalloy-Ltd/13560079,
96,Alkali Metals Ltd.,,ALKALI,,https://money.rediff.com/companies/Alkali-Metals-Ltd/12060043,
97,Alkem Laboratories Ltd.,,ALKEM,,https://money.rediff.com/companies/Alkem-Laboratories-Ltd/12540464,
98,Alkyl Amines Chemicals Ltd.,,ALKYLAMINE,,https://money.rediff.com/companies/Alkyl-Amines-Chemicals-Ltd/12070001,
